Indicadores,Total,Homens,Mulheres,Razao,Ano
Brasil,2658.6819633219384,2920.293160135621,2303.0803427927895,78.8646966760636,2022
Norte,2075.8857179906067,2179.363517851476,1907.5316131567151,87.52700490449863,2022
Nordeste,1811.6477140789007,1917.520011333522,1656.1181592956723,86.36771191472154,2022
Sudeste,3001.509467158949,3345.1841013315093,2562.195842358812,76.59356749121706,2022
Sul,2961.65065036628,3325.5607239020524,2481.7570220656203,74.62672397554799,2022
Centro-Oeste,3033.903900430769,3426.7097874654196,2490.7040457170215,72.68500107093344,2022
Brasil,3376.7607233593426,3792.8980721657044,2858.068846404421,75.35316773678798,2022
Norte,2914.650147481861,3144.24583534453,2594.9819811523503,82.53114155331323,2022
Nordeste,2343.3681162589687,2525.5159094715523,2102.4470362602456,83.24821983402863,2022
Sudeste,3668.199698255496,4145.118784261732,3091.749567285876,74.58771939237764,2022
Sul,3220.065501314551,3636.311098238229,2692.5636213788434,74.04656941160437,2022
Centro-Oeste,3878.963184790603,4468.846226381089,3137.107491680115,70.19949518872956,2022
Brasil,2048.16158919857,2230.027418018858,1781.4226744278326,79.88344268925792,2022
Norte,1878.582492335009,1972.0806814496566,1720.6800097071064,87.25200879926737,2022
Nordeste,1634.5379433254177,1725.1362415407045,1496.2592889104874,86.7328187119987,2022
Sudeste,2253.523476505478,2501.368652178445,1915.3574041027925,76.57237578454122,2022
Sul,2203.8170030510946,2455.5217526663128,1831.043659386596,74.56841534384165,2022
Centro-Oeste,2566.0694389599353,2885.354843606298,2098.0154617820417,72.71256311614727,2022
Brasil,2714.708258360506,2957.853744422549,2365.3853683661305,79.96965275333166,2021
Norte,2010.2162512956697,2092.5224901380657,1868.4651996756759,89.29247874188408,2021
Nordeste,1879.4631938831822,1976.7536861790372,1724.281220036119,87.2279248594227,2021
Sudeste,3110.272852376379,3447.8781316446057,2655.852931615457,77.02861963826545,2021
Sul,2943.9654184678743,3307.790512451425,2438.580795865707,73.72234688642537,2021
Centro-Oeste,2981.303995356189,3264.3472410595014,2582.3663316983852,79.10819961850115,2021
Brasil,3511.2524181952126,3894.6149975049348,3001.9259803412942,77.07888924231183,2021
Norte,2767.294498240788,3003.9382918495003,2423.2499865325017,80.66910006465301,2021
